更新时间: 26/01/29-15:57:02（北京时间）

央卫频道,#genre#
CCTV-12,http://rihou.cc:555/tv/[mg]CCTV-12
CCTV-13,http://rihou.cc:555/tv/[mg]CCTV-13
CCTV-14,http://rihou.cc:555/tv/[mg]CCTV-14
CCTV-15,http://rihou.cc:555/tv/[mg]CCTV-15
CCTV-16,http://rihou.cc:555/tv/[mg]CCTV-16
CCTV-17,http://rihou.cc:555/tv/[mg]CCTV-17
北京卫视,http://rihou.cc:555/tv/[mg]北京卫视
东方卫视,http://rihou.cc:555/tv/[mg]东方卫视
浙江卫视,http://rihou.cc:555/tv/[mg]浙江卫视
江苏卫视,http://rihou.cc:555/tv/[mg]江苏卫视
湖南卫视,http://rihou.cc:555/tv/[mg]湖南卫视
广东卫视,http://rihou.cc:555/tv/[mg]广东卫视
深圳卫视,http://rihou.cc:555/tv/[mg]深圳卫视
山东卫视,http://rihou.cc:555/tv/[mg]山东卫视
河南卫视,http://rihou.cc:555/tv/[mg]河南卫视
江西卫视,http://rihou.cc:555/tv/[mg]江西卫视
湖北卫视,http://rihou.cc:555/tv/[mg]湖北卫视
海南卫视,http://rihou.cc:555/tv/[mg]海南卫视
陕西卫视,http://rihou.cc:555/tv/[mg]陕西卫视
兵团卫视,http://rihou.cc:555/tv/[mg]兵团卫视
黑龙江卫视,http://rihou.cc:555/tv/[mg]黑龙江卫视
全部频道,#genre#
CCTV1,http://192.144.185.155:6000/rtp/225.1.8.1:8008$北京市电信
CCTV1,http://121.237.57.124:7000/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://61.187.186.29:4000/rtp/239.76.253.151:9000$湖南电信
CCTV1,http://113.66.41.254:10000/rtp/239.77.0.86:5146$广东电信
CCTV1,http://123.112.240.132:5555/rtp/239.3.1.129:8008$北京市联通
CCTV1,http://117.86.48.47:7777/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://171.83.38.123:1234/rtp/239.254.96.96:8550$湖北电信
CCTV1,http://183.158.217.184:8000/rtp/233.50.201.118:5140$浙江电信
CCTV1,http://183.164.63.183:5000/rtp/238.1.78.166:7200$安徽电信
CCTV1,http://116.9.34.165:4000/rtp/239.81.0.102:4056$广西电信
CCTV1,http://120.41.66.7:18888/rtp/239.61.3.61:9884$福建省电信
CCTV1,http://113.205.140.92:4022/rtp/235.254.198.51:1480$重庆市电信
CCTV1,http://114.233.64.19:4022/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://113.128.68.75:4022/rtp/239.21.1.120:5002$山东电信
CCTV1,http://123.117.161.44:8118/rtp/239.3.1.129:8008$北京市联通
CCTV2,http://192.144.185.155:6000/rtp/225.1.8.2:8084$北京市电信
CCTV2,http://121.237.57.124:7000/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://61.187.186.29:4000/rtp/239.76.253.152:9000$湖南电信
CCTV2,http://61.187.186.29:4000/rtp/239.76.246.152:1234$湖南电信
CCTV2,http://113.66.41.254:10000/rtp/239.77.0.137:5146$广东电信
CCTV2,http://123.112.240.132:5555/rtp/239.3.1.60:8084$北京市联通
CCTV2,http://117.86.48.47:7777/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://171.83.38.123:1234/rtp/239.69.1.102:10250$湖北电信
CCTV2,http://183.158.217.184:8000/rtp/233.50.201.119:5140$浙江电信
CCTV2,http://183.164.63.183:5000/rtp/238.1.78.235:7752$安徽电信
CCTV2,http://116.9.34.165:4000/rtp/239.81.0.115:4056$广西电信
CCTV2,http://120.41.66.7:18888/rtp/239.61.2.174:9032$福建省电信
CCTV2,http://113.205.140.92:4022/rtp/235.254.198.52:1484$重庆市电信
